CodDis	NomDis
729	MARIA PARADO DE BELLIDO
730	MUQUIYAUYO
731	LA MORADA
732	SALAMANCA
733	CHONTALI
734	CORONGO
735	ACHAYA
736	HUANCHAY
737	OLLEROS
738	URARINAS
739	PISCOYACU
740	SANTO TORIBIO
741	JUAN GUERRA
742	TAPUC
743	VIRUNDO
744	SAN FRANCISCO DE ASIS
745	SAN PEDRO DE HUANCAYRE
746	PAMPAS CHICO
747	SAURAMA
748	MUÑANI
749	SAN JOSE DE USHUA
750	WANCHAQ
751	LOS OLIVOS
752	LA VICTORIA
753	CHURCAMPA
754	MARIANO MELGAR
755	LIRCAY
756	ALTO SELVA ALEGRE
757	JUMBILLA
758	KUNTURKANKI
759	ANDAGUA
760	ABANCAY
761	YANACANCHA
762	PUINAHUA
763	SAMEGUA
764	JESUS
765	PALLPATA
766	CASTILLO GRANDE
767	QUIRUVILCA
768	MOLLEPATA
769	ITE
770	YUNGAY
771	CHECACUPE
772	REQUENA
773	URACA
774	PAMPA HERMOSA
775	CHOCOPE
776	PUCYURA
777	OCOYO
778	SITABAMBA
779	ATUNCOLLA
780	YUNGAR
781	SARA SARA
782	FRIAS
783	SABANDIA
784	CASITAS
785	TOTORA
786	SOCOS
787	USQUIL
788	PARIAHUANCA
789	COPANI
790	ANDAJES
791	MONOBAMBA
792	POMAHUACA
793	SOCOTA
794	ONGOY
795	PACHIZA
796	CONIMA
797	CARAYBAMBA
798	MARCA
799	SAN JUAN DE ISCOS
800	CARABAMBA
801	AURAHUA
802	SAN ANTON
803	YAGUAS
804	PACHIA
805	TANTARA
806	QUISHUAR
807	COJATA
808	CHINCHO
809	LIMA
810	HUAYLLABAMBA
811	HUARAL
812	MORCOLLA
813	HUALMAY
814	HUAURA
815	PIMENTEL
816	CHICLA
817	PALCAZU
818	LAMBRAMA
819	HUEPETUHE
820	ORCOPAMPA
821	ACOBAMBILLA
822	PIAS
823	MIGUEL CHECA
824	SICAYA
825	PITUMARCA
826	ANDABAMBA
827	PADRE ABAD
828	NAVAN
829	COPALLIN
830	OCUMAL
831	COLASAY
832	SALCABAMBA
833	CHECCA
834	SAUSA
835	MANTA
836	LUCMA
837	CHOROS
838	QUIQUIJANA
839	SAQUENA
840	SAN PEDRO DE PALCO
841	LIMBANI
842	SAN JAVIER DE ALPABAMBA
843	COLONIA
844	LARAMARCA
845	POMACANCHA
846	CAPELO
847	SANTIAGO DE SURCO
848	CELENDIN
849	MORROPE
850	JULIACA
851	JAUJA
852	BELLA UNION
853	SAN JOSE DE LOURDES
854	VEGUETA
855	PUNCHANA
856	QUIVILLA
857	ALEXANDER VON HUMBOLDT
858	MOCHUMI
859	SANTA TERESA
860	CALETA DE CARQUIN
861	PACUCHA
862	TALAVERA
863	SHUPLUY
864	EL PRADO
865	MASMA CHICCHE
866	QUEROCOTILLO
867	COTABAMBAS
868	JENARO HERRERA
869	CHOCHOPE
870	PAUCARCOLLA
871	SAPILLICA
872	POZUZO
873	HUAMANGUILLA
874	SANTIAGO DE PISCHA
875	VILLA VIRGEN
876	SAUCE
877	MANUEL ANTONIO MESONES MURO
878	CUCHUMBAYA
879	QUEROPALCA
880	YAUYA
881	JOSE MANUEL QUIROZ
882	TAURIPAMPA
883	SAN SALVADOR DE QUIJE
884	PARANDAY
885	CHANCAYBAÑOS
886	LALAQUIZ
887	MIRACOSTA
888	LONGUITA
889	HUANGASCAR
890	PATAYPAMPA
891	SHANAO
892	HUAY HUAY
893	SANTIAGO DE TUCUMA
894	MACATE
895	CHILCAS
896	HUAYANA
897	ALIS
898	JORGE CHAVEZ
899	LACABAMBA
900	CHETILLA
901	VILLA KINTIARINA
902	CONDOROMA
903	JESUS MARIA
904	TARMA
905	HUANUCO
906	CUTERVO
907	SAN CRISTOBAL
908	NAUTA
909	MONTERO
910	SAN JERONIMO
911	PARINARI
912	OXAPAMPA
913	PAITA
914	TINGO
915	PICHACANI
916	FLORENCIA DE MORA
917	ACARI
918	YONAN
919	HUAMANCACA CHICO
920	MANSERICHE
921	OCOBAMBA
922	CHIGUATA
923	HUARIPAMPA
924	PUCARA
925	JEQUETEPEQUE
926	LIVITACA
927	JUAN ESPINOZA MEDRANO
928	QUINUA
929	LAMUD
930	COYLLURQUI
931	CANDARAVE
932	CAUJUL
933	HUASTA
934	SANTA CRUZ DE FLORES
935	PAMPAS DE HOSPITAL
936	PARAS
937	CHAPIMARCA
938	SAN BUENAVENTURA
939	MARISCAL CASTILLA
940	AGALLPAMPA
941	AYAPATA
942	TATE
943	MOLINOS
944	CONCHAMARCA
945	CAJAY
946	SAN PEDRO DE CAJAS
947	CHINCHAYPUJIO
948	SAN MIGUEL DE CAURI
949	YANAC
950	CUENCA
951	SAN JUAN
952	RANRACANCHA
953	QUERCO
954	LA PRIMAVERA
955	PACAIPAMPA
956	YAUYUCAN
957	LOCROJA
958	SAN ROQUE DE CUMBAZA
959	SAN PEDRO DE CHANA
960	ANDAMARCA
961	HUAYAN
962	HUATASANI
963	IRAY
964	VILAVILA
965	SOPLIN
966	SAN FCO DE ASIS DE YARUSYACAN
967	TUPE
968	SAN DAMIAN
969	CAJAMARCA
970	MOQUEGUA
971	JOSE LUIS BUSTAMANTE Y RIVERO
972	PALCA
973	CHINCHA ALTA
974	PISUQUIA
975	CABANILLA
976	ILABAYA
977	SAN LUIS DE SHUARO
978	HUACHOCOLPA
979	MADRIGAL
980	YANAOCA
981	HUATA
982	CANCHABAMBA
983	TAHUAMANU
984	CANCHAYLLO
985	ALTO INAMBARI
986	YORONGOS
987	SAN MIGUEL DE ACOS
988	SAN LORENZO DE QUINTI
989	VEINTISIETE DE NOVIEMBRE
990	KISHUARA
991	HUANTAR
992	ARMA
993	LAHUAYTAMBO
994	ATAQUERO
995	CHICCHE
996	CALAMARCA
997	SANTIAGO DE CHALLAS
998	SAN JUAN DE IRIS
999	UCHUMARCA
1000	PILLUANA
1001	SICCHEZ
1002	MOLLEPAMPA
1003	PISACOMA
1004	MANGAS
1005	SAN JUAN DE YANAC
1006	SANTIAGO DE PAUCARAY
1007	TIBILLO
1008	SONCHE
1009	INDEPENDENCIA
1010	ICA
1011	CUSCO
1012	HUACHO
1013	CAYNARACHI
1014	MATO
1015	CHANCAY
1016	YANAQUIHUA
1017	VICTOR LARCO HERRERA
1018	SOCABAYA
1019	CHANGUILLO
1020	CHOTA
1021	PAMPAS
1022	CURA MORI
1023	SAPALLANGA
1024	LUYANDO
1025	LLAMA
1026	EL CENEPA
1027	EL CARMEN
1028	DEAN VALDIVIA
1029	CURICACA
1030	YAMBRASBAMBA
1031	TARICA
1032	ANCO HUALLO
1033	ATICO
1034	CRISTO NOS VALGA
1035	ANCHONGA
1036	TUTI
1037	HUABAL
1038	TRES DE DICIEMBRE
1039	LARI
1040	HUACHOS
1041	YUCAY
1042	FIDEL OLIVAS ESCUDERO
1043	TORAYA
1044	SHUNQUI
1045	SOROCHUCO
1046	COYA
1047	CARHUANCA
1048	CULLHUAS
1049	SAN GREGORIO
1050	CARAPO
1051	SUMBILCA
1052	SHIPASBAMBA
1053	YANAS
1054	ITUATA
1055	HUAMANQUIQUIA
1056	TARUCACHI
1057	APONGO
1058	HUACRAPUQUIO
1059	AMBO
1060	LURIN
1061	COISHCO
1062	YURA
1063	EL PORVENIR
1064	HUAYOPATA
1065	ANDRES AVELINO CACERES D.
1066	CAPACMARCA
1067	CERRO AZUL
1068	LLUTA
1069	ANCO
1070	CALLALLI
1071	CARAVELI
1072	MAGDALENA
1073	JULCAN
1074	MAZAN
1075	RAZURI
1076	PAUCAR
1077	PACCHO
